sample_number,site,element,value,group
112,Forest,Sr,26.2,geochem
112,Forest,Te,0.04,geochem
112,Forest,Th,1.6,geochem
112,Forest,Tl,0.15,geochem
112,Forest,U,1,geochem
112,Forest,V,40,geochem
112,Forest,Y,8.23,geochem
112,Forest,Zn,99,geochem
112,Forest,Zr,5.6,geochem
113,Forest,Ag,0.07,geochem
113,Forest,Al,0.65,geochem
113,Forest,As,4.5,geochem
113,Forest,B,10,geochem
113,Forest,Ba,140,geochem
113,Forest,Be,0.41,geochem
113,Forest,Bi,0.18,geochem
113,Forest,Ca,0.95,geochem
113,Forest,Cd,0.42,geochem
113,Forest,Ce,25,geochem
113,Forest,Co,4.5,geochem
113,Forest,Cr,13,geochem
113,Forest,Cs,0.42,geochem
113,Forest,Cu,12.7,geochem
113,Forest,Fe,1.12,geochem
113,Forest,Ga,2.12,geochem
113,Forest,Hf,0.11,geochem
113,Forest,Hg,0.06,geochem
113,Forest,In,0.015,geochem
113,Forest,K,0.17,geochem
113,Forest,La,12.6,geochem
113,Forest,Li,5.4,geochem
113,Forest,Mg,0.23,geochem
113,Forest,Mn,543,geochem
113,Forest,Mo,0.84,geochem
113,Forest,Nb,0.46,geochem
113,Forest,Ni,13.5,geochem
113,Forest,P,760,geochem
113,Forest,Pb,10.2,geochem
113,Forest,Rb,12.8,geochem
113,Forest,S,0.05,geochem
113,Forest,Sb,0.2,geochem
113,Forest,Sc,1.5,geochem
113,Forest,Se,0.8,geochem
113,Forest,Sn,0.4,geochem
113,Forest,Sr,24.1,geochem
113,Forest,Te,0.03,geochem
113,Forest,Th,1.5,geochem
113,Forest,Tl,0.15,geochem
113,Forest,U,0.93,geochem
113,Forest,V,31,geochem
113,Forest,Y,7.01,geochem
113,Forest,Zn,86,geochem
113,Forest,Zr,3.7,geochem
114,Forest,Ag,0.07,geochem
114,Forest,Al,0.68,geochem
114,Forest,As,3.7,geochem
114,Forest,B,10,geochem
114,Forest,Ba,190,geochem
114,Forest,Be,0.44,geochem
114,Forest,Bi,0.16,geochem
114,Forest,Ca,0.83,geochem
114,Forest,Cd,0.5,geochem
114,Forest,Ce,25.8,geochem
114,Forest,Co,5.2,geochem
114,Forest,Cr,14,geochem
114,Forest,Cs,0.43,geochem
114,Forest,Cu,23.1,geochem
114,Forest,Fe,1.18,geochem
114,Forest,Ga,2.2,geochem
114,Forest,Hf,0.1,geochem
114,Forest,Hg,0.05,geochem
114,Forest,In,0.015,geochem
114,Forest,K,0.19,geochem
114,Forest,La,14.3,geochem
114,Forest,Li,5.2,geochem
114,Forest,Mg,0.22,geochem
114,Forest,Mn,726,geochem
114,Forest,Mo,0.6,geochem
114,Forest,Nb,0.4,geochem
114,Forest,Ni,14.7,geochem
114,Forest,P,790,geochem
114,Forest,Pb,8.4,geochem
114,Forest,Rb,12.5,geochem
114,Forest,S,0.04,geochem
114,Forest,Sb,0.17,geochem
114,Forest,Sc,1.6,geochem
114,Forest,Se,0.7,geochem
114,Forest,Sn,0.4,geochem
114,Forest,Sr,20.2,geochem
114,Forest,Te,0.02,geochem
114,Forest,Th,1.9,geochem
114,Forest,Tl,0.12,geochem
114,Forest,U,0.83,geochem
114,Forest,V,33,geochem
114,Forest,Y,7.09,geochem
114,Forest,Zn,145,geochem
114,Forest,Zr,3.2,geochem
115,Forest,Ag,0.07,geochem
115,Forest,Al,0.57,geochem
115,Forest,As,5.9,geochem
115,Forest,B,20,geochem
115,Forest,Ba,140,geochem
115,Forest,Be,0.39,geochem
115,Forest,Bi,0.15,geochem
115,Forest,Ca,4.16,geochem
115,Forest,Cd,0.39,geochem
115,Forest,Ce,37.1,geochem
115,Forest,Co,7.4,geochem
115,Forest,Cr,13,geochem
115,Forest,Cs,0.62,geochem
115,Forest,Cu,12.3,geochem
115,Forest,Fe,1.22,geochem
115,Forest,Ga,1.97,geochem
115,Forest,Hf,0.06,geochem
115,Forest,Hg,0.04,geochem
115,Forest,In,0.013,geochem
115,Forest,K,0.17,geochem
115,Forest,La,18.2,geochem
115,Forest,Li,6.6,geochem
115,Forest,Mg,1.55,geochem
115,Forest,Mn,866,geochem
115,Forest,Mo,0.82,geochem
115,Forest,Nb,0.36,geochem
115,Forest,Ni,19.2,geochem
115,Forest,P,750,geochem
115,Forest,Pb,8.7,geochem
115,Forest,Rb,12.6,geochem
115,Forest,S,0.04,geochem
115,Forest,Sb,0.39,geochem
115,Forest,Sc,1.7,geochem
115,Forest,Se,0.6,geochem
115,Forest,Sn,0.3,geochem
115,Forest,Sr,43.9,geochem
115,Forest,Te,0.04,geochem
115,Forest,Th,2.8,geochem
115,Forest,Tl,0.2,geochem
115,Forest,U,1.26,geochem
115,Forest,V,34,geochem
115,Forest,Y,10.4,geochem
115,Forest,Zn,70,geochem
115,Forest,Zr,2.6,geochem
116,Forest,Ag,0.07,geochem
116,Forest,Al,0.64,geochem
116,Forest,As,3.9,geochem
116,Forest,B,20,geochem
116,Forest,Ba,150,geochem
116,Forest,Be,0.43,geochem
116,Forest,Bi,0.19,geochem
116,Forest,Ca,1.2,geochem
116,Forest,Cd,0.37,geochem
116,Forest,Ce,26,geochem
116,Forest,Co,5.8,geochem
116,Forest,Cr,12,geochem
116,Forest,Cs,0.43,geochem
116,Forest,Cu,10.9,geochem
116,Forest,Fe,0.93,geochem
116,Forest,Ga,1.93,geochem
116,Forest,Hf,0.15,geochem
116,Forest,Hg,0.07,geochem
116,Forest,In,0.016,geochem
116,Forest,K,0.2,geochem
116,Forest,La,12.2,geochem
116,Forest,Li,5.8,geochem
116,Forest,Mg,0.25,geochem
116,Forest,Mn,782,geochem
116,Forest,Mo,0.73,geochem
116,Forest,Nb,0.34,geochem
116,Forest,Ni,14.6,geochem
116,Forest,P,840,geochem
116,Forest,Pb,13.9,geochem
116,Forest,Rb,13.8,geochem
116,Forest,S,0.08,geochem
116,Forest,Sb,0.29,geochem
116,Forest,Sc,1.3,geochem
116,Forest,Se,1.6,geochem
116,Forest,Sn,0.4,geochem
116,Forest,Sr,34.1,geochem
116,Forest,Te,0.04,geochem
116,Forest,Th,1.4,geochem
116,Forest,Tl,0.13,geochem
116,Forest,U,0.77,geochem
116,Forest,V,34,geochem
116,Forest,Y,7.61,geochem
116,Forest,Zn,93,geochem
116,Forest,Zr,5,geochem
117,Forest,Ag,0.07,geochem
117,Forest,Al,0.55,geochem
117,Forest,As,3.5,geochem
117,Forest,B,20,geochem
117,Forest,Ba,170,geochem
117,Forest,Be,0.35,geochem
117,Forest,Bi,0.2,geochem
117,Forest,Ca,1.6,geochem
117,Forest,Cd,0.55,geochem
117,Forest,Ce,22.1,geochem
117,Forest,Co,6,geochem
117,Forest,Cr,10,geochem
117,Forest,Cs,0.34,geochem
117,Forest,Cu,14.2,geochem
117,Forest,Fe,0.87,geochem
117,Forest,Ga,1.71,geochem
117,Forest,Hf,0.12,geochem
117,Forest,Hg,0.08,geochem
117,Forest,In,0.027,geochem
117,Forest,K,0.2,geochem
117,Forest,La,10.3,geochem
117,Forest,Li,5,geochem
117,Forest,Mg,0.23,geochem
117,Forest,Mn,975,geochem
117,Forest,Mo,0.61,geochem
117,Forest,Nb,0.32,geochem
117,Forest,Ni,15.5,geochem
117,Forest,P,940,geochem
117,Forest,Pb,14.2,geochem
117,Forest,Rb,12,geochem
117,Forest,S,0.1,geochem
117,Forest,Sb,0.28,geochem
117,Forest,Sc,1,geochem
117,Forest,Se,1.9,geochem
117,Forest,Sn,0.4,geochem
117,Forest,Sr,44.5,geochem
117,Forest,Te,0.04,geochem
117,Forest,Th,1,geochem
117,Forest,Tl,0.13,geochem
117,Forest,U,0.65,geochem
117,Forest,V,27,geochem
117,Forest,Y,6.04,geochem
117,Forest,Zn,128,geochem
117,Forest,Zr,4,geochem
118,Forest,Ag,0.05,geochem
118,Forest,Al,0.53,geochem
118,Forest,As,5.7,geochem
118,Forest,B,20,geochem
118,Forest,Ba,200,geochem
118,Forest,Be,0.37,geochem
118,Forest,Bi,0.13,geochem
118,Forest,Ca,4.17,geochem
118,Forest,Cd,0.32,geochem
118,Forest,Ce,35.4,geochem
118,Forest,Co,8.2,geochem
118,Forest,Cr,12,geochem
118,Forest,Cs,0.66,geochem
118,Forest,Cu,10.9,geochem
118,Forest,Fe,1.16,geochem
118,Forest,Ga,1.86,geochem
118,Forest,Hf,0.07,geochem
118,Forest,Hg,0.04,geochem
118,Forest,In,0.016,geochem
118,Forest,K,0.15,geochem
118,Forest,La,17.1,geochem
118,Forest,Li,6.4,geochem
118,Forest,Mg,1.54,geochem
118,Forest,Mn,930,geochem
118,Forest,Mo,0.86,geochem
118,Forest,Nb,0.34,geochem
118,Forest,Ni,21.1,geochem
118,Forest,P,720,geochem
118,Forest,Pb,8.7,geochem
118,Forest,Rb,11.1,geochem
118,Forest,S,0.07,geochem
118,Forest,Sb,0.35,geochem
118,Forest,Sc,1.8,geochem
118,Forest,Se,0.7,geochem
118,Forest,Sn,0.3,geochem
118,Forest,Sr,42.2,geochem
